episode,total_reward,progress,win,n_clicks,beta,learn_rate
1,10.46,3,0,4,0.1,0.001
2,-24.07,2,0,3,0.1,0.001
3,-31.65,1,0,2,0.1,0.001
4,46.68,3,1,3,0.1,0.001
5,-6.6,6,0,7,0.1,0.001
6,-32.28,1,0,2,0.1,0.001
7,-30.77,1,0,2,0.1,0.001
8,-20.31,3,0,4,0.1,0.001
9,-21.43,3,0,4,0.1,0.001
10,-20.82,4,0,5,0.1,0.001
11,-20.83,4,0,5,0.1,0.001
12,-16.98,4,0,5,0.1,0.001
13,-31.89,1,0,2,0.1,0.001
14,-17.94,4,0,5,0.1,0.001
15,-5.37,8,0,9,0.1,0.001
16,-33.03,1,0,2,0.1,0.001
17,-21.58,4,0,5,0.1,0.001
18,-33.28,1,0,2,0.1,0.001
19,-24.96,3,0,4,0.1,0.001
20,-32.19,1,0,2,0.1,0.001
21,-30.53,2,0,3,0.1,0.001
22,-28.48,2,0,3,0.1,0.001
23,-15.84,6,0,7,0.1,0.001
24,-27.93,3,0,4,0.1,0.001
25,-28.41,2,0,3,0.1,0.001
26,-21.92,4,0,5,0.1,0.001
27,-19.85,4,0,5,0.1,0.001
28,-4.78,10,0,11,0.1,0.001
29,-29.58,2,0,3,0.1,0.001
30,-22.96,4,0,5,0.1,0.001
31,-28.86,2,0,3,0.1,0.001
32,-28.33,3,0,4,0.1,0.001
33,-24.81,3,0,4,0.1,0.001
34,-12.47,6,0,7,0.1,0.001
35,-6.08,9,0,10,0.1,0.001
36,-31.03,2,0,3,0.1,0.001
37,-23.23,4,0,5,0.1,0.001
38,3.84,10,0,11,0.1,0.001
39,-17.58,5,0,6,0.1,0.001
40,-21.5,4,0,5,0.1,0.001
41,0.49,10,0,11,0.1,0.001
42,-31.09,2,0,3,0.1,0.001
43,-10.16,9,0,10,0.1,0.001
44,-22.3,5,0,6,0.1,0.001
45,-29.41,2,0,3,0.1,0.001
46,-16.77,5,0,6,0.1,0.001
47,-31.18,2,0,3,0.1,0.001
48,-13.16,8,0,9,0.1,0.001
49,-33.74,1,0,2,0.1,0.001
50,-24.88,3,0,4,0.1,0.001
51,-24.96,3,0,4,0.1,0.001
52,-27.19,2,0,3,0.1,0.001
53,-9.63,7,0,8,0.1,0.001
54,-25.34,3,0,4,0.1,0.001
55,36,1,1,1,0.1,0.001
56,-15.22,6,0,7,0.1,0.001
57,-29.85,2,0,3,0.1,0.001
58,-32.09,1,0,2,0.1,0.001
59,-33.67,1,0,2,0.1,0.001
60,-31.8,1,0,2,0.1,0.001
61,-31.34,1,0,2,0.1,0.001
62,-31.51,1,0,2,0.1,0.001
63,-22.19,4,0,5,0.1,0.001
64,-12.88,6,0,7,0.1,0.001
65,-28.74,2,0,3,0.1,0.001
66,-33.75,1,0,2,0.1,0.001
67,-33.79,1,0,2,0.1,0.001
68,-29.65,2,0,3,0.1,0.001
69,-25.56,3,0,4,0.1,0.001
70,-19.11,6,0,7,0.1,0.001
71,-33.81,1,0,2,0.1,0.001
72,-23.92,3,0,4,0.1,0.001
73,-23.74,4,0,5,0.1,0.001
74,-2.43,9,0,10,0.1,0.001
75,-8.27,8,0,9,0.1,0.001
76,-32.26,1,0,2,0.1,0.001
77,-33.81,1,0,2,0.1,0.001
78,-32.11,1,0,2,0.1,0.001
79,-32.09,1,0,2,0.1,0.001
80,-19.81,4,0,5,0.1,0.001
81,-23.95,4,0,5,0.1,0.001
82,-31.41,1,0,2,0.1,0.001
83,-32.17,1,0,2,0.1,0.001
84,-29.61,2,0,3,0.1,0.001
85,-29.7,2,0,3,0.1,0.001
86,-31.96,1,0,2,0.1,0.001
87,-31.59,2,0,3,0.1,0.001
88,-29.47,2,0,3,0.1,0.001
89,-32.01,1,0,2,0.1,0.001
90,-31.61,2,0,3,0.1,0.001
91,-32.6,1,0,2,0.1,0.001
92,-27.73,3,0,4,0.1,0.001
93,-28.65,2,0,3,0.1,0.001
94,-28.45,2,0,3,0.1,0.001
95,-30.48,2,0,3,0.1,0.001
96,-29.03,3,0,4,0.1,0.001
97,-25.83,3,0,4,0.1,0.001
98,-25.91,3,0,4,0.1,0.001
99,-26.78,4,0,5,0.1,0.001
100,-32.47,1,0,2,0.1,0.001
101,-25.26,3,0,4,0.1,0.001
102,-32.79,1,0,2,0.1,0.001
103,-28.57,2,0,3,0.1,0.001
104,-33.68,1,0,2,0.1,0.001
105,-30.25,2,0,3,0.1,0.001
106,-25.92,3,0,4,0.1,0.001
107,-14.32,8,0,9,0.1,0.001
108,-32.35,1,0,2,0.1,0.001
109,-32.43,1,0,2,0.1,0.001
110,-32.93,1,0,2,0.1,0.001
111,-32.65,1,0,2,0.1,0.001
112,-21.14,4,0,5,0.1,0.001
113,-32.06,1,0,2,0.1,0.001
114,-26.75,3,0,4,0.1,0.001
115,-30.14,2,0,3,0.1,0.001
116,-27.97,2,0,3,0.1,0.001
117,-21.53,5,0,6,0.1,0.001
118,-28.33,3,0,4,0.1,0.001
119,-17.54,6,0,7,0.1,0.001
120,-33.92,1,0,2,0.1,0.001
121,-33.76,1,0,2,0.1,0.001
122,-6.06,8,0,9,0.1,0.001
123,45.15,5,1,5,0.1,0.001
124,39.5,2,1,2,0.1,0.001
125,-28.45,2,0,3,0.1,0.001
126,-21.94,4,0,5,0.1,0.001
127,-29.65,2,0,3,0.1,0.001
128,-26.06,3,0,4,0.1,0.001
129,-31.4,1,0,2,0.1,0.001
130,-29.93,2,0,3,0.1,0.001
131,23.03,16,0,17,0.1,0.001
132,-20.96,5,0,6,0.1,0.001
133,-29.89,2,0,3,0.1,0.001
134,-33.66,1,0,2,0.1,0.001
135,-29.56,2,0,3,0.1,0.001
136,-32.61,1,0,2,0.1,0.001
137,-10.48,9,0,10,0.1,0.001
138,-33.99,1,0,2,0.1,0.001
139,-25.49,4,0,5,0.1,0.001
140,-32.63,1,0,2,0.1,0.001
141,-32.49,1,0,2,0.1,0.001
142,-32.75,1,0,2,0.1,0.001
143,-28.28,3,0,4,0.1,0.001
144,-29.07,2,0,3,0.1,0.001
145,-25.98,3,0,4,0.1,0.001
146,-27.98,3,0,4,0.1,0.001
147,-25.29,3,0,4,0.1,0.001
148,-30.14,2,0,3,0.1,0.001
149,-34.02,1,0,2,0.1,0.001
150,43.98,3,1,3,0.1,0.001
151,-26.05,3,0,4,0.1,0.001
152,-16.19,7,0,8,0.1,0.001
153,-31.92,2,0,3,0.1,0.001
154,-28.56,2,0,3,0.1,0.001
155,-29.74,3,0,4,0.1,0.001
156,-34.04,1,0,2,0.1,0.001
157,-32.25,1,0,2,0.1,0.001
158,-32.25,1,0,2,0.1,0.001
159,-29.24,3,0,4,0.1,0.001
160,-18.19,5,0,6,0.1,0.001
161,-25.49,3,0,4,0.1,0.001
162,-25.61,3,0,4,0.1,0.001
163,-21.6,4,0,5,0.1,0.001
164,-30.19,2,0,3,0.1,0.001
165,-10.15,7,0,8,0.1,0.001
166,-20.26,4,0,5,0.1,0.001
167,-29.08,2,0,3,0.1,0.001
168,-29.38,3,0,4,0.1,0.001
169,-34.05,1,0,2,0.1,0.001
170,-30.15,2,0,3,0.1,0.001
171,-20.48,6,0,7,0.1,0.001
172,-29.12,2,0,3,0.1,0.001
173,66.91,11,1,11,0.1,0.001
174,-30.64,2,0,3,0.1,0.001
175,-31.99,2,0,3,0.1,0.001
176,-19.24,5,0,6,0.1,0.001
177,-32.36,1,0,2,0.1,0.001
178,-19.15,6,0,7,0.1,0.001
179,-33.97,1,0,2,0.1,0.001
180,-26.12,3,0,4,0.1,0.001
181,-23.59,4,0,5,0.1,0.001
182,-32.65,1,0,2,0.1,0.001
183,-33.8,1,0,2,0.1,0.001
184,-29.64,2,0,3,0.1,0.001
185,-26.57,4,0,5,0.1,0.001
186,-32.54,1,0,2,0.1,0.001
187,-21.98,4,0,5,0.1,0.001
188,-24.98,4,0,5,0.1,0.001
189,-26.52,3,0,4,0.1,0.001
190,-23.97,4,0,5,0.1,0.001
191,-32.46,1,0,2,0.1,0.001
192,-28.67,3,0,4,0.1,0.001
193,-30.32,2,0,3,0.1,0.001
194,-28.28,3,0,4,0.1,0.001
195,-26.84,3,0,4,0.1,0.001
196,-7.66,8,0,9,0.1,0.001
197,-29.91,3,0,4,0.1,0.001
198,-32.11,1,0,2,0.1,0.001
199,-6.98,10,0,11,0.1,0.001
200,-30.39,2,0,3,0.1,0.001
201,-29.29,2,0,3,0.1,0.001
202,-28.76,3,0,4,0.1,0.001
203,-32.09,2,0,3,0.1,0.001
204,-15.45,6,0,7,0.1,0.001
205,-32.31,1,0,2,0.1,0.001
206,-23.68,4,0,5,0.1,0.001
207,-32.19,1,0,2,0.1,0.001
208,-32.69,1,0,2,0.1,0.001
209,-30.31,2,0,3,0.1,0.001
210,-34.03,1,0,2,0.1,0.001
211,-27.77,4,0,5,0.1,0.001
212,-12.35,8,0,9,0.1,0.001
213,-24.49,4,0,5,0.1,0.001
214,-30.62,2,0,3,0.1,0.001
215,-10.23,9,0,10,0.1,0.001
216,-18.78,5,0,6,0.1,0.001
217,-22.39,4,0,5,0.1,0.001
218,-28.32,3,0,4,0.1,0.001
219,-34.05,1,0,2,0.1,0.001
220,-27.28,3,0,4,0.1,0.001
221,45.75,4,1,4,0.1,0.001
222,-25.92,4,0,5,0.1,0.001
223,-26.58,3,0,4,0.1,0.001
224,-32.84,1,0,2,0.1,0.001
225,-25.64,3,0,4,0.1,0.001
226,-29.0,3,0,4,0.1,0.001
227,-29.29,2,0,3,0.1,0.001
228,-33.89,1,0,2,0.1,0.001
229,-30.05,3,0,4,0.1,0.001
230,-27.46,3,0,4,0.1,0.001
231,41.16,3,1,3,0.1,0.001
232,-34.16,1,0,2,0.1,0.001
233,-22.83,4,0,5,0.1,0.001
234,-30.18,2,0,3,0.1,0.001
235,-32.78,1,0,2,0.1,0.001
236,-32.63,1,0,2,0.1,0.001
237,-31.86,2,0,3,0.1,0.001
238,-24.9,4,0,5,0.1,0.001
239,-34.16,1,0,2,0.1,0.001
240,-22.56,4,0,5,0.1,0.001
241,-25.84,4,0,5,0.1,0.001
242,-29.51,3,0,4,0.1,0.001
243,-29.03,3,0,4,0.1,0.001
244,-33.85,1,0,2,0.1,0.001
245,-30.34,2,0,3,0.1,0.001
246,-28.03,2,0,3,0.1,0.001
247,-34.17,1,0,2,0.1,0.001
248,-34.17,1,0,2,0.1,0.001
249,-32.34,1,0,2,0.1,0.001
250,-28.68,3,0,4,0.1,0.001
251,-28.96,3,0,4,0.1,0.001
252,-19.02,6,0,7,0.1,0.001
253,-32.75,1,0,2,0.1,0.001
254,-32.65,1,0,2,0.1,0.001
255,-32.71,1,0,2,0.1,0.001
256,-30.43,2,0,3,0.1,0.001
257,-31.36,2,0,3,0.1,0.001
258,-32.82,1,0,2,0.1,0.001
259,45.42,4,1,4,0.1,0.001
260,-22.68,5,0,6,0.1,0.001
261,-25.05,3,0,4,0.1,0.001
262,-9.57,8,0,9,0.1,0.001
263,-25.53,5,0,6,0.1,0.001
264,-29.47,2,0,3,0.1,0.001
265,-30.62,2,0,3,0.1,0.001
266,-28.05,2,0,3,0.1,0.001
267,-24.02,4,0,5,0.1,0.001
268,-29.87,2,0,3,0.1,0.001
269,-33.23,1,0,2,0.1,0.001
270,-34.07,1,0,2,0.1,0.001
271,-26.36,3,0,4,0.1,0.001
272,-32.6,1,0,2,0.1,0.001
273,-12.17,7,0,8,0.1,0.001
274,-32.93,1,0,2,0.1,0.001
275,-25.53,3,0,4,0.1,0.001
276,-29.62,3,0,4,0.1,0.001
277,-24.37,4,0,5,0.1,0.001
278,-29.86,2,0,3,0.1,0.001
279,48.44,5,1,5,0.1,0.001
280,-34.2,1,0,2,0.1,0.001
281,-18.74,5,0,6,0.1,0.001
282,-28.04,4,0,5,0.1,0.001
283,-34.06,1,0,2,0.1,0.001
284,-21.29,5,0,6,0.1,0.001
285,-34.09,1,0,2,0.1,0.001
286,-34.21,1,0,2,0.1,0.001
287,-33.85,1,0,2,0.1,0.001
288,-32.4,1,0,2,0.1,0.001
289,-31.9,1,0,2,0.1,0.001
290,-32.6,1,0,2,0.1,0.001
291,-21.73,4,0,5,0.1,0.001
292,-30.86,2,0,3,0.1,0.001
293,-34.21,1,0,2,0.1,0.001
294,-29.66,3,0,4,0.1,0.001
295,-32.28,2,0,3,0.1,0.001
296,-23.17,5,0,6,0.1,0.001
297,-32.3,1,0,2,0.1,0.001
298,-30.7,2,0,3,0.1,0.001
299,-32.52,1,0,2,0.1,0.001
300,-24.91,3,0,4,0.1,0.001
301,-26.49,4,0,5,0.1,0.001
302,-28.44,3,0,4,0.1,0.001
303,-30.58,2,0,3,0.1,0.001
304,-16.97,6,0,7,0.1,0.001
305,-23.43,4,0,5,0.1,0.001
306,-31.97,2,0,3,0.1,0.001
307,-13.27,8,0,9,0.1,0.001
308,-21.53,5,0,6,0.1,0.001
309,-32.71,1,0,2,0.1,0.001
310,-26.9,3,0,4,0.1,0.001
311,-30.45,2,0,3,0.1,0.001
312,-30.33,2,0,3,0.1,0.001
313,-17.45,6,0,7,0.1,0.001
314,-30.2,3,0,4,0.1,0.001
315,-34.15,1,0,2,0.1,0.001
316,-26.59,3,0,4,0.1,0.001
317,-28.15,4,0,5,0.1,0.001
318,-31.99,2,0,3,0.1,0.001
319,-30.81,2,0,3,0.1,0.001
320,-29.46,3,0,4,0.1,0.001
321,-29.89,2,0,3,0.1,0.001
322,-32.39,1,0,2,0.1,0.001
323,-30.8,2,0,3,0.1,0.001
324,-18.59,5,0,6,0.1,0.001
325,-28.87,2,0,3,0.1,0.001
326,-22.47,5,0,6,0.1,0.001
327,-29.11,2,0,3,0.1,0.001
328,-22.44,5,0,6,0.1,0.001
329,37.75,2,1,2,0.1,0.001
330,-34.12,1,0,2,0.1,0.001
331,-21.69,5,0,6,0.1,0.001
332,-28.13,3,0,4,0.1,0.001
333,-32.35,2,0,3,0.1,0.001
334,-7.03,9,0,10,0.1,0.001
335,-23.79,4,0,5,0.1,0.001
336,-30.12,2,0,3,0.1,0.001
337,-16.98,7,0,8,0.1,0.001
338,-34.25,1,0,2,0.1,0.001
339,-22.47,4,0,5,0.1,0.001
340,-32.45,1,0,2,0.1,0.001
341,-26.35,3,0,4,0.1,0.001
342,-25.74,3,0,4,0.1,0.001
343,-27.28,3,0,4,0.1,0.001
344,-30.33,3,0,4,0.1,0.001
345,-32.36,2,0,3,0.1,0.001
346,40.94,3,1,3,0.1,0.001
347,-26.83,3,0,4,0.1,0.001
348,-28.51,2,0,3,0.1,0.001
349,-20.89,5,0,6,0.1,0.001
350,-31.36,2,0,3,0.1,0.001
351,-30.35,3,0,4,0.1,0.001
352,-29.24,3,0,4,0.1,0.001
353,-32.86,1,0,2,0.1,0.001
354,-28.79,3,0,4,0.1,0.001
355,-30.75,2,0,3,0.1,0.001
356,-34.27,1,0,2,0.1,0.001
357,-15.59,8,0,9,0.1,0.001
358,-23.8,4,0,5,0.1,0.001
359,-32.27,1,0,2,0.1,0.001
360,-27.04,3,0,4,0.1,0.001
361,-29.03,2,0,3,0.1,0.001
362,-30.82,2,0,3,0.1,0.001
363,-25.57,3,0,4,0.1,0.001
364,-29.16,2,0,3,0.1,0.001
365,-33.9,1,0,2,0.1,0.001
366,-30.18,3,0,4,0.1,0.001
367,-24.35,4,0,5,0.1,0.001
368,-22.96,4,0,5,0.1,0.001
369,-32.42,1,0,2,0.1,0.001
370,-34.04,1,0,2,0.1,0.001
371,-32.43,1,0,2,0.1,0.001
372,-10.29,10,0,11,0.1,0.001
373,-33.85,1,0,2,0.1,0.001
374,-34.28,1,0,2,0.1,0.001
375,-32.46,1,0,2,0.1,0.001
376,-24.24,4,0,5,0.1,0.001
377,-33.99,1,0,2,0.1,0.001
378,-34.12,1,0,2,0.1,0.001
379,-28.04,3,0,4,0.1,0.001
380,-22.6,4,0,5,0.1,0.001
381,-21.68,5,0,6,0.1,0.001
382,-31.07,2,0,3,0.1,0.001
383,-23.91,4,0,5,0.1,0.001
384,-18.66,5,0,6,0.1,0.001
385,-28.75,3,0,4,0.1,0.001
386,-22.21,5,0,6,0.1,0.001
387,-34.1,1,0,2,0.1,0.001
388,-21.42,5,0,6,0.1,0.001
389,-24.47,4,0,5,0.1,0.001
390,-27.26,3,0,4,0.1,0.001
391,48.96,5,1,5,0.1,0.001
392,-29.07,2,0,3,0.1,0.001
393,-22.46,5,0,6,0.1,0.001
394,-30.89,2,0,3,0.1,0.001
395,-30.4,3,0,4,0.1,0.001
396,-23.27,4,0,5,0.1,0.001
397,-29.13,2,0,3,0.1,0.001
398,-16.92,6,0,7,0.1,0.001
399,-27.97,3,0,4,0.1,0.001
400,-32.68,1,0,2,0.1,0.001
401,-30.64,2,0,3,0.1,0.001
