episode,total_reward,progress,win,n_clicks,beta,learn_rate,avg_bonus
1,7.96,3,0,4,0.1,0.001,10.2403
2,-21.09,2,0,3,0.1,0.001,4.3021
3,-28.76,1,0,2,0.1,0.001,3.1176
4,49.12,3,1,3,0.1,0.001,3.7073
5,-4.24,6,0,7,0.1,0.001,3.6794
6,-29.77,1,0,2,0.1,0.001,2.6129
7,-28.47,1,0,2,0.1,0.001,3.2673
8,-18.33,3,0,4,0.1,0.001,3.6664
9,-19.41,3,0,4,0.1,0.001,3.3976
10,-18.9,4,0,5,0.1,0.001,2.6206
11,-19.03,4,0,5,0.1,0.001,2.5933
12,-15.42,4,0,5,0.1,0.001,3.3169
13,-29.98,1,0,2,0.1,0.001,2.5109
14,-16.45,4,0,5,0.1,0.001,3.1095
15,-4.01,8,0,9,0.1,0.001,2.6655
16,-31.29,1,0,2,0.1,0.001,1.8572
17,-20.02,4,0,5,0.1,0.001,2.3961
18,-31.61,1,0,2,0.1,0.001,1.6968
19,-23.45,3,0,4,0.1,0.001,2.3865
20,-30.61,1,0,2,0.1,0.001,2.1974
21,-28.96,2,0,3,0.1,0.001,1.6796
22,-27.1,2,0,3,0.1,0.001,2.301
23,-14.54,6,0,7,0.1,0.001,2.2088
24,-26.47,3,0,4,0.1,0.001,1.6319
25,-27.04,2,0,3,0.1,0.001,2.3195
26,-20.67,4,0,5,0.1,0.001,2.2653
27,-18.76,4,0,5,0.1,0.001,2.6482
28,-3.59,10,0,11,0.1,0.001,2.0372
29,-28.22,2,0,3,0.1,0.001,1.9253
30,-21.7,4,0,5,0.1,0.001,2.0596
31,-27.54,2,0,3,0.1,0.001,2.1523
32,-26.98,3,0,4,0.1,0.001,1.504
33,-23.66,3,0,4,0.1,0.001,2.336
34,-11.54,6,0,7,0.1,0.001,2.6366
35,-5.02,9,0,10,0.1,0.001,2.1978
36,-29.71,2,0,3,0.1,0.001,1.4315
37,-22.0,4,0,5,0.1,0.001,1.9992
38,4.49,10,0,11,0.1,0.001,2.7714
39,-16.51,5,0,6,0.1,0.001,2.4152
40,-20.33,4,0,5,0.1,0.001,2.3331
41,1.33,10,0,11,0.1,0.001,2.4849
42,-29.79,2,0,3,0.1,0.001,1.4042
43,-9.01,9,0,10,0.1,0.001,1.799
44,-21.07,5,0,6,0.1,0.001,1.6546
45,-28.21,2,0,3,0.1,0.001,1.9299
46,-15.82,5,0,6,0.1,0.001,2.5306
47,-29.94,2,0,3,0.1,0.001,1.354
48,-12.06,8,0,9,0.1,0.001,1.7714
49,-32.5,1,0,2,0.1,0.001,1.2477
50,-23.85,3,0,4,0.1,0.001,2.2874
51,-23.93,3,0,4,0.1,0.001,2.2666
52,-26.17,2,0,3,0.1,0.001,2.6116
53,-8.81,7,0,8,0.1,0.001,2.5241
54,-24.24,3,0,4,0.1,0.001,2.1891
55,37.2,1,1,1,0.1,0.001,1.202
56,-14.29,6,0,7,0.1,0.001,2.245
57,-28.71,2,0,3,0.1,0.001,1.7619
58,-30.97,1,0,2,0.1,0.001,2.0173
59,-32.5,1,0,2,0.1,0.001,1.25
60,-30.71,1,0,2,0.1,0.001,2.1455
61,-30.3,1,0,2,0.1,0.001,2.351
62,-30.46,1,0,2,0.1,0.001,2.2725
63,-21.2,4,0,5,0.1,0.001,2.1598
64,-12.11,6,0,7,0.1,0.001,2.5555
65,-27.68,2,0,3,0.1,0.001,2.1077
66,-32.61,1,0,2,0.1,0.001,1.1937
67,-32.66,1,0,2,0.1,0.001,1.1703
68,-28.6,2,0,3,0.1,0.001,1.7991
69,-24.59,3,0,4,0.1,0.001,2.1036
70,-18.12,6,0,7,0.1,0.001,1.6972
71,-32.71,1,0,2,0.1,0.001,1.1447
72,-23.01,3,0,4,0.1,0.001,2.4966
73,-22.76,4,0,5,0.1,0.001,1.8481
74,-1.81,9,0,10,0.1,0.001,2.5195
75,-7.52,8,0,9,0.1,0.001,2.2756
76,-31.21,1,0,2,0.1,0.001,1.8951
77,-32.73,1,0,2,0.1,0.001,1.1365
78,-31.09,1,0,2,0.1,0.001,1.9575
79,-31.07,1,0,2,0.1,0.001,1.9671
80,-18.99,4,0,5,0.1,0.001,2.6017
81,-22.97,4,0,5,0.1,0.001,1.8058
82,-30.46,1,0,2,0.1,0.001,2.2724
83,-31.16,1,0,2,0.1,0.001,1.9196
84,-28.6,2,0,3,0.1,0.001,1.8006
85,-28.72,2,0,3,0.1,0.001,1.7604
86,-30.97,1,0,2,0.1,0.001,2.0138
87,-30.55,2,0,3,0.1,0.001,1.1502
88,-28.52,2,0,3,0.1,0.001,1.8261
89,-31.03,1,0,2,0.1,0.001,1.9826
90,-30.58,2,0,3,0.1,0.001,1.1384
91,-31.61,1,0,2,0.1,0.001,1.6974
92,-26.78,3,0,4,0.1,0.001,1.5558
93,-27.72,2,0,3,0.1,0.001,2.0924
94,-27.54,2,0,3,0.1,0.001,2.1542
95,-29.51,2,0,3,0.1,0.001,1.4981
96,-28.04,3,0,4,0.1,0.001,1.2408
97,-24.91,3,0,4,0.1,0.001,2.0213
98,-25.04,3,0,4,0.1,0.001,1.9906
99,-25.81,4,0,5,0.1,0.001,1.2387
100,-31.51,1,0,2,0.1,0.001,1.7427
101,-24.45,3,0,4,0.1,0.001,2.1363
102,-31.83,1,0,2,0.1,0.001,1.5861
103,-27.68,2,0,3,0.1,0.001,2.1074
104,-32.7,1,0,2,0.1,0.001,1.1485
105,-29.33,2,0,3,0.1,0.001,1.5575
106,-25.09,3,0,4,0.1,0.001,1.9786
107,-13.47,8,0,9,0.1,0.001,1.6143
108,-31.43,1,0,2,0.1,0.001,1.7852
109,-31.51,1,0,2,0.1,0.001,1.7464
110,-32.0,1,0,2,0.1,0.001,1.5024
111,-31.72,1,0,2,0.1,0.001,1.6384
112,-20.37,4,0,5,0.1,0.001,2.3265
113,-31.16,1,0,2,0.1,0.001,1.9197
114,-25.89,3,0,4,0.1,0.001,1.7786
115,-29.24,2,0,3,0.1,0.001,1.585
116,-27.15,2,0,3,0.1,0.001,2.2819
117,-20.73,5,0,6,0.1,0.001,1.7122
118,-27.43,3,0,4,0.1,0.001,1.3931
119,-16.76,6,0,7,0.1,0.001,1.8914
120,-32.99,1,0,2,0.1,0.001,1.0059
121,-32.83,1,0,2,0.1,0.001,1.0845
122,-5.57,8,0,9,0.1,0.001,2.4923
123,46.05,5,1,5,0.1,0.001,1.2101
124,40.39,2,1,2,0.1,0.001,1.6926
125,-27.63,2,0,3,0.1,0.001,2.1221
126,-21.17,4,0,5,0.1,0.001,2.1661
127,-28.77,2,0,3,0.1,0.001,1.7417
128,-25.22,3,0,4,0.1,0.001,1.9441
129,-30.6,1,0,2,0.1,0.001,2.2019
130,-29.09,2,0,3,0.1,0.001,1.6378
131,23.18,16,0,17,0.1,0.001,2.5398
132,-20.17,5,0,6,0.1,0.001,1.8049
133,-29.05,2,0,3,0.1,0.001,1.6498
134,-32.75,1,0,2,0.1,0.001,1.1232
135,-28.7,2,0,3,0.1,0.001,1.7659
136,-31.74,1,0,2,0.1,0.001,1.6295
137,-9.76,9,0,10,0.1,0.001,1.7244
138,-33.09,1,0,2,0.1,0.001,0.9539
139,-24.67,4,0,5,0.1,0.001,1.4658
140,-31.76,1,0,2,0.1,0.001,1.6179
141,-31.64,1,0,2,0.1,0.001,1.6821
142,-31.89,1,0,2,0.1,0.001,1.5546
143,-27.42,3,0,4,0.1,0.001,1.3944
144,-28.25,2,0,3,0.1,0.001,1.9166
145,-25.22,3,0,4,0.1,0.001,1.9442
146,-27.16,3,0,4,0.1,0.001,1.4589
147,-24.59,3,0,4,0.1,0.001,2.103
148,-29.33,2,0,3,0.1,0.001,1.5571
149,-33.15,1,0,2,0.1,0.001,0.9254
150,44.73,3,1,3,0.1,0.001,2.2419
151,-25.31,3,0,4,0.1,0.001,1.9221
152,-15.48,7,0,8,0.1,0.001,1.6904
153,-31.06,2,0,3,0.1,0.001,0.9789
154,-27.79,2,0,3,0.1,0.001,2.0685
155,-28.89,3,0,4,0.1,0.001,1.0268
156,-33.19,1,0,2,0.1,0.001,0.9041
157,-31.45,1,0,2,0.1,0.001,1.7746
158,-31.45,1,0,2,0.1,0.001,1.7735
159,-28.41,3,0,4,0.1,0.001,1.1482
160,-17.6,5,0,6,0.1,0.001,2.2342
161,-24.76,3,0,4,0.1,0.001,2.0608
162,-24.87,3,0,4,0.1,0.001,2.0314
163,-20.92,4,0,5,0.1,0.001,2.2158
164,-29.41,2,0,3,0.1,0.001,1.5301
165,-9.63,7,0,8,0.1,0.001,2.4209
166,-19.65,4,0,5,0.1,0.001,2.4696
167,-28.31,2,0,3,0.1,0.001,1.896
168,-28.56,3,0,4,0.1,0.001,1.1112
169,-33.22,1,0,2,0.1,0.001,0.8879
170,-29.37,2,0,3,0.1,0.001,1.5417
171,-19.72,6,0,7,0.1,0.001,1.4683
172,-28.36,2,0,3,0.1,0.001,1.8805
173,67.5,11,1,11,0.1,0.001,1.9549
174,-29.85,2,0,3,0.1,0.001,1.3837
175,-31.17,2,0,3,0.1,0.001,0.9443
176,-18.56,5,0,6,0.1,0.001,2.0732
177,-31.58,1,0,2,0.1,0.001,1.7116
178,-18.46,6,0,7,0.1,0.001,1.6491
179,-33.15,1,0,2,0.1,0.001,0.923
180,-25.42,3,0,4,0.1,0.001,1.8943
181,-22.88,4,0,5,0.1,0.001,1.824
182,-31.87,1,0,2,0.1,0.001,1.5674
183,-32.99,1,0,2,0.1,0.001,1.0053
