episode,total_reward,progress,win,n_clicks,epsilon,learn_rate
1,-34.0,2,0,3,0.95,0.001
2,-33.0,3,0,4,0.95,0.001
3,-35.0,1,0,2,0.95,0.001
4,-33.0,3,0,4,0.95,0.001
5,-30.0,6,0,7,0.95,0.001
6,-32.0,4,0,5,0.95,0.001
7,-35.0,1,0,2,0.95,0.001
8,-34.0,2,0,3,0.95,0.001
9,-33.0,3,0,4,0.95,0.001
10,-33.0,3,0,4,0.95,0.001
11,-34.0,2,0,3,0.95,0.001
12,-32.0,4,0,5,0.95,0.001
13,-35.0,1,0,2,0.95,0.001
14,-32.0,4,0,5,0.95,0.001
15,-35.0,1,0,2,0.95,0.001
16,-35.0,1,0,2,0.95,0.001
17,-31.0,5,0,6,0.95,0.001
18,-34.0,2,0,3,0.95,0.001
19,-35.0,1,0,2,0.95,0.001
20,37.0,2,1,2,0.95,0.001
21,-31.0,5,0,6,0.95,0.001
22,-32.0,4,0,5,0.95,0.001
23,-34.0,2,0,3,0.95,0.001
24,-32.0,4,0,5,0.95,0.001
25,-34.0,2,0,3,0.95,0.001
26,-32.0,4,0,5,0.95,0.001
27,-31.0,5,0,6,0.95,0.001
28,-34.0,2,0,3,0.95,0.001
29,-32.0,4,0,5,0.95,0.001
30,-33.0,3,0,4,0.95,0.001
31,-28.0,8,0,9,0.95,0.001
32,-28.0,8,0,9,0.95,0.001
33,-31.0,5,0,6,0.95,0.001
34,-34.0,2,0,3,0.95,0.001
35,-31.0,5,0,6,0.95,0.001
36,-31.0,5,0,6,0.95,0.001
37,-34.0,2,0,3,0.95,0.001
38,-30.0,6,0,7,0.95,0.001
39,-35.0,1,0,2,0.95,0.001
40,-33.0,3,0,4,0.95,0.001
41,-34.0,2,0,3,0.95,0.001
42,-33.0,3,0,4,0.95,0.001
43,-34.0,2,0,3,0.95,0.001
44,-34.0,2,0,3,0.95,0.001
45,-30.0,6,0,7,0.95,0.001
46,-35.0,1,0,2,0.95,0.001
47,-27.0,9,0,10,0.95,0.001
48,-34.0,2,0,3,0.95,0.001
49,-35.0,1,0,2,0.95,0.001
50,-33.0,3,0,4,0.95,0.001
51,-32.0,4,0,5,0.95,0.001
52,-33.0,3,0,4,0.95,0.001
53,40.0,5,1,5,0.95,0.001
54,-29.0,7,0,8,0.95,0.001
55,-26.0,10,0,11,0.95,0.001
56,36,1,1,1,0.95,0.001
57,-32.0,4,0,5,0.95,0.001
58,-34.0,2,0,3,0.95,0.001
59,-32.0,4,0,5,0.95,0.001
60,-33.0,3,0,4,0.95,0.001
61,-27.0,9,0,10,0.95,0.001
62,-35.0,1,0,2,0.95,0.001
63,-32.0,4,0,5,0.95,0.001
64,-35.0,1,0,2,0.95,0.001
65,-35.0,1,0,2,0.95,0.001
66,-34.0,2,0,3,0.95,0.001
67,-33.0,3,0,4,0.95,0.001
68,-35.0,1,0,2,0.95,0.001
69,-35.0,1,0,2,0.95,0.001
70,39.0,4,1,4,0.95,0.001
71,-34.0,2,0,3,0.95,0.001
72,-35.0,1,0,2,0.95,0.001
73,-33.0,3,0,4,0.95,0.001
74,-27.0,9,0,10,0.95,0.001
75,-32.0,4,0,5,0.95,0.001
76,-28.0,8,0,9,0.95,0.001
77,-35.0,1,0,2,0.95,0.001
78,-30.0,6,0,7,0.95,0.001
79,-35.0,1,0,2,0.95,0.001
80,-32.0,4,0,5,0.95,0.001
81,-34.0,2,0,3,0.95,0.001
82,-32.0,4,0,5,0.95,0.001
83,-33.0,3,0,4,0.95,0.001
84,-33.0,3,0,4,0.95,0.001
85,-30.0,6,0,7,0.95,0.001
86,-34.0,2,0,3,0.95,0.001
87,-35.0,1,0,2,0.95,0.001
88,-34.0,2,0,3,0.95,0.001
89,-33.0,3,0,4,0.95,0.001
90,-34.0,2,0,3,0.95,0.001
91,-30.0,6,0,7,0.95,0.001
92,-33.0,3,0,4,0.95,0.001
93,-31.0,5,0,6,0.95,0.001
94,-32.0,4,0,5,0.95,0.001
95,-33.0,3,0,4,0.95,0.001
96,-31.0,5,0,6,0.95,0.001
97,-32.0,4,0,5,0.95,0.001
98,-20.0,16,0,17,0.95,0.001
99,-28.0,8,0,9,0.95,0.001
100,-35.0,1,0,2,0.95,0.001
101,-34.0,2,0,3,0.95,0.001
102,-35.0,1,0,2,0.95,0.001
103,-33.0,3,0,4,0.95,0.001
104,-35.0,1,0,2,0.95,0.001
105,-34.0,2,0,3,0.95,0.001
106,39.0,4,1,4,0.95,0.001
107,-35.0,1,0,2,0.95,0.001
108,-35.0,1,0,2,0.95,0.001
109,-35.0,1,0,2,0.95,0.001
110,-30.0,6,0,7,0.95,0.001
111,-34.0,2,0,3,0.95,0.001
112,-31.0,5,0,6,0.95,0.001
113,-32.0,4,0,5,0.95,0.001
114,-33.0,3,0,4,0.95,0.001
115,-34.0,2,0,3,0.95,0.001
116,-33.0,3,0,4,0.95,0.001
117,-32.0,4,0,5,0.95,0.001
118,-33.0,3,0,4,0.95,0.001
