algorithm,eval_seed,episodes,win_rate,avg_reward,avg_clicks,avg_progress,avg_logical_moves,avg_forced_guesses,forced_guess_rate
CAE-DQN,1,500,0.708,21.14,7.164,6.872,,,
CAE-DQN,2,500,0.708,20.708,6.732,6.44,,,
CAE-DQN,3,500,0.688,19.58,7.044,6.732,,,
CAE-DQN,4,500,0.656,17.176,6.944,6.6,,,
CAE-DQN,5,500,0.72,21.76,6.92,6.64,,,
DQN,1,500,0.59,12.318,6.838,6.428,,,
DQN,2,500,0.59,12.058,6.578,6.168,,,
DQN,3,500,0.566,10.272,6.52,6.086,,,
DQN,4,500,0.582,11.53,6.626,6.208,,,
DQN,5,500,0.572,10.67,6.486,6.058,,,
Random Picker,1,500,0.02,-31.39,4.17,3.19,0.0,4.17,1.0
Random Picker,2,500,0.034,-30.208,4.344,3.378,0.0,4.344,1.0
Random Picker,3,500,0.02,-31.204,4.356,3.376,0.0,4.356,1.0
Random Picker,4,500,0.026,-30.912,4.216,3.242,0.0,4.216,1.0
Random Picker,5,500,0.042,-29.748,4.228,3.27,0.0,4.228,1.0
Rule-Based Deterministic,1,500,0.742,23.632,7.208,6.95,4.856,2.352,0.44016179999999955
Rule-Based Deterministic,2,500,0.774,26.232,7.504,7.278,5.16,2.344,0.4086379999999995
Rule-Based Deterministic,3,500,0.732,23.006,7.302,7.034,4.93,2.372,0.44629939999999924
Rule-Based Deterministic,4,500,0.714,21.796,7.388,7.102,4.852,2.536,0.4625029999999989
Rule-Based Deterministic,5,500,0.752,24.544,7.4,7.152,5.072,2.328,0.4280479999999995
